epoch,train_loss,val_loss
1,0.1296287328004837,0.13770443201065063
2,0.13169638812541962,0.1291131228208542
3,0.12895895540714264,0.13410814106464386
4,0.13189184665679932,0.12434882670640945
5,0.12536855041980743,0.12150070816278458
6,0.12288487702608109,0.12182828783988953
7,0.12230940908193588,0.12038426846265793
8,0.12139489501714706,0.11971594393253326
9,0.12082906812429428,0.11938902735710144
10,0.11982887238264084,0.11927147954702377
11,0.11795173585414886,0.12063506990671158
12,0.11690746992826462,0.12070675194263458
13,0.11761445552110672,0.1253519356250763
14,0.11766237765550613,0.11873515695333481
15,0.1153658926486969,0.11921199411153793
16,0.11590948700904846,0.11865559220314026
17,0.11499299108982086,0.11840838938951492
18,0.11389797925949097,0.11910029500722885
19,0.11330366879701614,0.11938195675611496
20,0.11224452406167984,0.11940659582614899
21,0.11103532463312149,0.1190909594297409
22,0.10996697098016739,0.1194431334733963
23,0.108205646276474,0.11672188341617584
24,0.10574164241552353,0.11407635360956192
25,0.10270804166793823,0.10903840512037277
26,0.09912049770355225,0.09674510359764099
27,0.09113744646310806,0.09033680707216263
28,0.08291270583868027,0.0811057761311531
29,0.0748906135559082,0.08094104379415512
30,0.07366811484098434,0.0803217738866806
31,0.07214584201574326,0.07106129825115204
32,0.06886090338230133,0.06859292089939117
33,0.06515874713659286,0.06837449222803116
34,0.06366456300020218,0.06781076639890671
35,0.06276935338973999,0.0682695060968399
36,0.06265078485012054,0.06893492490053177
37,0.06244484707713127,0.06827745586633682
38,0.06107243150472641,0.06753324717283249
39,0.06005175784230232,0.06638756394386292
40,0.05851386860013008,0.06609229743480682
41,0.05769294872879982,0.06507463753223419
42,0.05655883625149727,0.06436475366353989
43,0.05561411380767822,0.06393779814243317
44,0.05435153841972351,0.06441168487071991
45,0.05401540547609329,0.06412176787853241
46,0.05333178490400314,0.06327922642230988
47,0.05244128778576851,0.06263572722673416
48,0.051408980041742325,0.06244109570980072
49,0.05061234161257744,0.06210681423544884
50,0.05003941059112549,0.061869725584983826
51,0.0494607612490654,0.06171116605401039
52,0.04865451902151108,0.0619489885866642
53,0.0481998473405838,0.06188445910811424
54,0.047538530081510544,0.06212638318538666
55,0.04716971889138222,0.06214684247970581
56,0.046470917761325836,0.061864953488111496
57,0.04579523950815201,0.06110181286931038
58,0.045031189918518066,0.0607236884534359
59,0.04427178204059601,0.06061201170086861
60,0.043635521084070206,0.060119420289993286
61,0.04279448837041855,0.059865448623895645
62,0.04206473007798195,0.05986937880516052
63,0.04134583845734596,0.05983839929103851
64,0.040625523775815964,0.06007244810461998
65,0.03995824605226517,0.060568444430828094
66,0.03921279311180115,0.061258185654878616
67,0.038522522896528244,0.061333827674388885
68,0.037856776267290115,0.06104254350066185
69,0.037113435566425323,0.061024196445941925
70,0.036465760320425034,0.06125884875655174
71,0.03583463281393051,0.06198078393936157
72,0.035220902413129807,0.06215977296233177
73,0.03467128053307533,0.06250350922346115
74,0.03411410376429558,0.06157829612493515
75,0.03444880619645119,0.07332974672317505
76,0.04033692181110382,0.06590955704450607
77,0.0393698513507843,0.06352724879980087
78,0.03669106215238571,0.06335357576608658
79,0.03554488718509674,0.06478917598724365
80,0.03578856587409973,0.06269704550504684
81,0.0333755761384964,0.06221345067024231
82,0.03311632201075554,0.06159847229719162
83,0.03240806981921196,0.06107232719659805
84,0.031706422567367554,0.06056567654013634
85,0.030891725793480873,0.06022178381681442
86,0.03065216727554798,0.05935410037636757
87,0.0295253973454237,0.05929296091198921
88,0.028863636776804924,0.059503260999917984
89,0.028596943244338036,0.05896703153848648
90,0.027601398527622223,0.05899518355727196
91,0.026965782046318054,0.059496551752090454
92,0.026164216920733452,0.06041475385427475
93,0.02555282600224018,0.0605216883122921
94,0.024947166442871094,0.05999341234564781
95,0.024172669276595116,0.05959072336554527
96,0.02364254742860794,0.05958055332303047
97,0.022990360856056213,0.059916891157627106
98,0.02249695360660553,0.05994611978530884
99,0.021806256845593452,0.0598551444709301
100,0.0212801955640316,0.05971570685505867
101,0.020826291292905807,0.059779684990644455
102,0.020267434418201447,0.05971832945942879
103,0.019729988649487495,0.05928803235292435
104,0.019223444163799286,0.05927441641688347
105,0.018892459571361542,0.05967674404382706
106,0.018385935574769974,0.05951865017414093
107,0.017985887825489044,0.05900483950972557
108,0.017629126086831093,0.059051625430583954
109,0.017206819728016853,0.05929097160696983
110,0.016808945685625076,0.05942592769861221
111,0.016454249620437622,0.05986899137496948
112,0.016072096303105354,0.05961053818464279
113,0.01566014625132084,0.05977729335427284
114,0.015289616771042347,0.06048154458403587
115,0.01492654625326395,0.05984063446521759
116,0.014612052589654922,0.06114352121949196
117,0.014333045110106468,0.05946430563926697
118,0.014052554033696651,0.06136717274785042
119,0.013791766948997974,0.059814564883708954
120,0.013368659652769566,0.060841046273708344
121,0.012911622412502766,0.06024927273392677
122,0.01248548086732626,0.06082271784543991
123,0.01220683753490448,0.06150389462709427
124,0.011927539482712746,0.060146085917949677
125,0.011621225625276566,0.06183230131864548
126,0.01126720942556858,0.06119662895798683
127,0.010907192714512348,0.061156123876571655
128,0.010602968744933605,0.06268883496522903
129,0.010381256230175495,0.06108114495873451
130,0.010115023702383041,0.06244179233908653
131,0.009771594777703285,0.062205273658037186
132,0.009476995095610619,0.06252426654100418
133,0.009216288104653358,0.0634942427277565
134,0.00899407360702753,0.06306670606136322
135,0.008783061988651752,0.06315311044454575
136,0.008627676405012608,0.06355199217796326
137,0.008563554845750332,0.062455225735902786
138,0.008535858243703842,0.06370079517364502
139,0.008261984214186668,0.06300055235624313
140,0.0076736025512218475,0.06280067563056946
141,0.0075287832878530025,0.06333725899457932
142,0.007338727358728647,0.06398826837539673
143,0.0071684992872178555,0.06291955709457397
144,0.006927836686372757,0.0631173849105835
145,0.006762584205716848,0.06409098207950592
146,0.006542619317770004,0.06379308551549911
147,0.006439316086471081,0.0631670281291008
148,0.0062341103330254555,0.06403173506259918
149,0.006107357796281576,0.0635724812746048
150,0.005931308027356863,0.06338231265544891
151,0.005767296068370342,0.06385023891925812
152,0.0056495401076972485,0.06276010721921921
153,0.00551665248349309,0.06364002823829651
154,0.005366981960833073,0.0632593035697937
155,0.0052449340000748634,0.06301708519458771
156,0.005099329631775618,0.06303668767213821
